text,label
The meal was fresh and delicious,positive
The package arrived earlier than expected,positive
Customer support solved my problem quickly,positive
The instructions were clear and easy to follow,positive
I enjoyed every chapter of the book,positive
The room was clean and comfortable,positive
The app responds quickly and feels intuitive,positive
The instructor explained the topic clearly,positive
The headphones sound excellent,positive
Checkout was simple and fast,positive
The staff were friendly and helpful,positive
The update fixed the issue I had,positive
My order arrived damaged,negative
The food was cold and bland,negative
Customer support never replied,negative
The instructions were confusing,negative
The book was repetitive and dull,negative
The room smelled unpleasant,negative
The app crashes every time I open it,negative
The lecture was hard to follow,negative
The headphones stopped working after a day,negative
Checkout failed and charged me twice,negative
The staff were rude and dismissive,negative
The update broke a feature I used,negative
